date,district_name,year,NDVI,LST,NDWI,VCI,TCI,VHI,rootzone_soil_moisture,surface_soil_moisture,surface_water_extent_km2,GRACE_TWS
2001-01-01,alfred nzo,2001,0.6109722226378163,30.6803,-0.586281186069842,64.40038681210737,60.66670406417413,62.53354543814075,0.2088676923076923,0.1673261538461538,5.37444460602022,281.46574998237713
2001-02-01,alfred nzo,2001,0.6163024848715697,29.3959,-0.5781390093728729,28.46547195186313,47.04416761041899,37.75481978114106,0.2088676923076923,0.1673261538461538,3.2726792776807594,287.4910121075983
2001-03-01,alfred nzo,2001,0.628231322751357,28.0213,-0.6044984791368655,28.18166294140764,17.13626427009956,22.6589636057536,0.2088676923076923,0.1673261538461538,7.91816698748468,268.13525547630536
2001-04-01,alfred nzo,2001,0.593470255756882,22.8101,-0.5820058964754593,41.56042930137704,34.64638894474202,38.103409123059535,0.2088676923076923,0.1673261538461538,16.467800116038603,286.1672629653382
2001-05-01,alfred nzo,2001,0.5027176722765667,20.9636,-0.564555187981794,42.74128035944892,22.07970234015473,32.41049134980182,0.2088676923076923,0.1673261538461538,4.981408231112133,278.8505124553268
2001-06-01,alfred nzo,2001,0.403523987397696,20.3955,-0.5273042288441243,31.591616433665365,0.0,15.795808216832684,0.2088676923076923,0.1673261538461538,5.1676288117114675,259.6804814883428
2001-07-01,alfred nzo,2001,0.353303539692639,18.2248,-0.4775455325574325,11.574400094716514,24.746765854913804,18.16058297481516,0.2088676923076923,0.1673261538461538,5.347842276807598,248.77986390377995
2001-08-01,alfred nzo,2001,0.3358069102953211,22.8269,-0.4487347485445205,17.646587550739355,28.34335032899424,22.9949689398668,0.2088676923076923,0.1673261538461538,12.468473179457716,236.70532597883584
2001-09-01,alfred nzo,2001,0.4064118479063286,27.8647,-0.4576307085270549,46.507390978293,39.53534308423084,43.02136703126192,0.2088676923076923,0.1673261538461538,12.254019156096811,267.5612370038817
2001-10-01,alfred nzo,2001,0.4966749598348408,28.7748,-0.5015383445257645,64.411622326161,76.00981328077685,70.21071780346892,0.2088676923076923,0.1673261538461538,4.543469493305758,272.6560912841176
2001-11-01,alfred nzo,2001,0.5641965972816373,28.3192,-0.5158581112444341,81.4140392310749,80.53087019931941,80.97245471519716,0.2088676923076923,0.1673261538461538,7.323211925719976,322.83785677030795
2001-12-01,alfred nzo,2001,0.6062103721840664,29.5966,-0.5766824576652392,78.34768581213216,74.61049492947134,76.47909037080174,0.2088676923076923,0.1673261538461538,15.121178036488963,321.76970314419896
2002-01-01,alfred nzo,2002,0.6504428268093959,30.3335,-0.6059333723011895,85.10645330176617,65.53024990884354,75.31835160530485,0.2088676923076923,0.1673261538461538,12.709407354319852,209.90308187961375
2002-02-01,alfred nzo,2002,0.6362786784376908,29.1076,-0.5993844792128835,46.405169759635726,51.70846141401064,49.05681558682318,0.2088676923076923,0.1673261538461538,2.76714905859375,98.03646061502857
2002-03-01,alfred nzo,2002,0.6264424552292845,26.0952,-0.6066000757376394,26.18650700325708,56.122985993037005,41.15474649814704,0.2088676923076923,0.1673261538461538,8.888439427849265,-3.0043585916935114
