province,date,year,month,day,daily_rainfall,daily_tmin,daily_tmax,daily_tmean,dewpoint_c,daily_pet,daily_relative_humidity,solar_radiation_mj_m2_day,solar_radiation_w_m2,wind_speed_10m_m_s,wind_speed_2m_m_s,tmin_raw_k,tmax_raw_k,dewpoint_raw_k,pet_raw_m,solar_raw_j_m2_day,u10_m_s,v10_m_s,days_in_month,monthly_rainfall,monthly_tmin,monthly_tmax,monthly_tmean,monthly_dewpoint_c,monthly_pet,monthly_relative_humidity,monthly_solar_radiation_mj_m2_day,monthly_solar_radiation_w_m2,monthly_wind_speed_10m_m_s,monthly_wind_speed_2m_m_s,monthly_u10_m_s,monthly_v10_m_s,rainfall_accumulation_1m,water_balance_accumulation_1m,spi_1,spei_1,rainfall_accumulation_3m,water_balance_accumulation_3m,spi_3,spei_3,rainfall_accumulation_6m,water_balance_accumulation_6m,spi_6,spei_6,rainfall_accumulation_12m,water_balance_accumulation_12m,spi_12,spei_12,rainfall_accumulation_24m,water_balance_accumulation_24m,spi_24,spei_24
Eastern Cape,2001-01-01,2001,1,1,2.19887156340863,9.43882136771981,15.6816625573188,12.5602419625193,8.45035451860979,6.10689398177593,76.6150406987822,14.9085438711709,172.552591101515,4.73918877614685,3.54468134054289,282.58882136772,288.831662557319,281.60035451861,-0.0061068939817759,14908543.8711709,0.97698694651477,4.41389472101404,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-02,2001,1,2,0.0023739506839729,9.02455910868301,17.3808621615343,13.2027106351088,6.03711541272134,7.92921100754704,62.9818420801383,23.6700252617162,273.958625714307,3.18068049005344,2.37899339230117,282.174559108683,290.530862161534,279.187115412721,-0.007929211007547,23670025.2617161,-1.50654954937681,2.37414266420834,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-03,2001,1,3,0.0,8.72892752085545,21.8780406420645,15.3034840814602,7.18033821152471,9.43759331191276,59.6026971850899,31.3011318834,362.281619020833,2.37483425157547,1.77625983181153,281.878927520855,295.028040642064,280.330338211525,-0.0094375933119127,31301131.8834,-1.82370812245676,1.06569448002464,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-04,2001,1,4,0.0,10.5533334045264,24.4752559738922,17.5142946892094,8.61744187418711,10.4106270975389,57.2642064514529,33.3176184451665,385.620583856094,2.52310815298046,1.88716145578674,283.703333404526,297.625255973892,281.767441874187,-0.0104106270975389,33317618.4451665,-2.2189454428548,0.53385520311703,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-05,2001,1,5,0.0,11.665876632781,28.0880972763833,19.8769869545822,10.5381783853953,10.5232194089923,57.6233266422588,32.6274516788008,377.632542578714,2.1650059136352,1.6193185008484,284.815876632781,301.238097276384,283.688178385395,-0.0105232194089923,32627451.6788008,-1.74887274052974,0.180593753926357,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-06,2001,1,6,0.0013338157788817,14.3398107788434,30.9831776337212,22.6614942062823,11.7824248102667,10.6993145368403,53.0792072991812,32.1628447210234,372.255147234067,2.20085353479313,1.64613076763569,287.489810778843,304.133177633721,284.932424810267,-0.0106993145368403,32162844.7210234,-0.599375745668769,1.42475079310612,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-07,2001,1,7,0.0098347110728655,15.0163491085568,26.1778913543383,20.5971202314475,12.4597682674479,9.58122564677694,61.2718013639509,28.5264154276516,330.166845227448,2.7163817725328,2.03172066733252,288.166349108557,299.327891354338,285.609768267448,-0.0095812256467769,28526415.4276516,-1.923735462731,1.77543017488524,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-08,2001,1,8,5.4733888142482,15.3056727551195,29.1212672634822,22.2134700093008,14.2534467398942,9.3052936195686,62.1130432322634,28.1846461292184,326.211182051139,2.10247297131552,1.57254691940699,288.455672755119,302.271267263482,287.403446739894,-0.0093052936195686,28184646.1292184,-1.53984672516353,0.28313979182486,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-09,2001,1,9,1.06383200687634,16.9958754165791,29.7080528691464,23.3519641428627,15.6354515379124,8.65630745714603,63.6248924588368,27.0336169595943,312.889085180489,1.51796657539266,1.13536473213394,290.145875416579,302.858052869146,288.785451537912,-0.008656307457146,27033616.9595943,-0.644860932467239,0.991700754358731,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
Eastern Cape,2001-01-10,2001,1,10,0.0476925750646751,17.3278126385367,29.029146474238,23.1784795563873,13.5906632827458,9.25396637323609,57.8151484943091,25.7427975966018,297.949046256965,1.80630327747142,1.35102647846413,290.477812638536,302.179146474238,286.740663282746,-0.009253966373236,25742797.5966018,0.0468039179376092,1.36959626914789,31,59.6385403430987,8.72892752085545,35.9779136013103,19.4939314389854,11.98412399023,268.195571536513,63.8350718698629,24.9914838717052,289.253285552143,2.28872401614867,1.71185358864109,,,59.6385403430987,-208.557031193414,-0.514768452010281,1.09274510461711,,,,,,,,,,,,,,,,
