province,date,year,month,day,daily_rainfall,daily_tmin,daily_tmax,daily_tmean,dewpoint_c,daily_pet,daily_relative_humidity,solar_radiation_mj_m2_day,solar_radiation_w_m2,wind_speed_10m_m_s,wind_speed_2m_m_s,tmin_raw_k,tmax_raw_k,dewpoint_raw_k,pet_raw_m,solar_raw_j_m2_day,u10_m_s,v10_m_s,days_in_month,monthly_rainfall,monthly_tmin,monthly_tmax,monthly_tmean,monthly_dewpoint_c,monthly_pet,monthly_relative_humidity,monthly_solar_radiation_mj_m2_day,monthly_solar_radiation_w_m2,monthly_wind_speed_10m_m_s,monthly_wind_speed_2m_m_s,monthly_u10_m_s,monthly_v10_m_s,rainfall_accumulation_1m,water_balance_accumulation_1m,spi_1,spei_1,rainfall_accumulation_3m,water_balance_accumulation_3m,spi_3,spei_3,rainfall_accumulation_6m,water_balance_accumulation_6m,spi_6,spei_6,rainfall_accumulation_12m,water_balance_accumulation_12m,spi_12,spei_12,rainfall_accumulation_24m,water_balance_accumulation_24m,spi_24,spei_24
Free State,2001-01-01,2001,1,1,1.68029360371042,9.43163596486045,20.0830666088232,14.7573512868419,6.41041975385352,9.72686551577413,58.3090365181205,23.9086211191601,276.720151842131,3.91954621826742,2.93162880812357,282.58163596486,293.233066608823,279.560419753854,-0.0097268655157741,23908621.1191601,1.2497806176119,3.06132308706153,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-02,2001,1,2,0.0058568981673077,8.27668953354862,21.0205009304953,14.648595232022,3.22176430728731,9.89599034366999,47.8197613127538,26.9116869851819,311.477858624791,3.89977853765953,2.91684355015932,281.426689533549,294.170500930495,276.371764307287,-0.0098959903436699,26911686.9851819,-1.94950649815805,3.13477164270891,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-03,2001,1,3,0.0,7.85516866112431,24.1810249637913,16.0180968124579,4.28382828565377,9.11073639760972,47.9587579476562,32.0137939711623,370.530022814378,1.88566289422568,1.41038358914039,281.005168661124,297.331024963791,277.433828285654,-0.0091107363976097,32013793.9711623,-1.5270580575204,0.410368514581965,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-04,2001,1,4,0.0,10.7042896929547,27.4731994271371,19.088744560046,6.2673718074449,10.0823271699337,45.3274758826613,33.3529691250376,386.029735243491,1.46812768760782,1.0980876824301,283.854289692955,300.623199427137,279.417371807445,-0.0100823271699337,33352969.1250376,-0.602393988470573,-0.503158757477084,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-05,2001,1,5,0.0,13.1728468738975,30.1208971851659,21.6468720295318,6.54273244342219,10.9116437799837,40.8239561668143,31.6174591965233,365.942814774575,1.28344127701019,0.95995128305469,286.322846873897,303.270897185166,279.692732443422,-0.0109116437799837,31617459.1965232,0.102176539276714,-0.489734621046912,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-06,2001,1,6,0.0028253677823928,14.717741769226,32.8670067215699,23.792374245398,5.68840078357105,12.1632785923578,34.9812405420839,31.983900644025,370.184035231771,1.45588345615083,1.08892959634723,287.867741769226,306.01700672157,278.838400783571,-0.0121632785923578,31983900.644025,0.387274976749971,0.325568063562928,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-07,2001,1,7,0.0413971037297172,16.1337719157723,31.0623671512913,23.5980695335319,7.97928922384876,12.6735832832429,39.9868400160819,31.1567387795348,360.610402540912,3.45426495130652,2.58362118424466,289.283771915772,304.212367151291,281.129289223849,-0.0126735832832429,31156738.7795348,-3.0084016894712,-0.610349017262891,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-08,2001,1,8,0.688942433294205,16.0652827528797,30.53858143564,23.30193209426,9.60566859461253,12.2821400426495,44.2829064166004,30.4394432605736,352.308371071454,2.8060124254119,2.09876001052144,289.21528275288,303.68858143564,282.755668594613,-0.0122821400426495,30439443.2605736,-1.16674654764649,-2.41542509378749,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-09,2001,1,9,0.086781544145666,17.5461273715783,32.6376684366536,25.091897904116,5.94621568124143,14.2881559088098,33.3796911529646,31.5259457725839,364.883631627128,2.88688325698136,2.15924743594354,290.696127371578,305.787668436654,279.096215681242,-0.0142881559088098,31525945.7725839,1.43235891307533,-2.27315423458177,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-10,2001,1,10,0.0,16.0625017276671,33.0343841904477,24.5484429590575,-0.235708945730414,14.5270732588482,21.8549256781739,34.1385787128533,395.122438806173,3.28764266517085,2.45899586618254,289.212501727667,306.184384190448,272.91429105427,-0.0145270732588482,34138578.7128533,3.16420877481728,-0.489844135192705,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-11,2001,1,11,0.0,14.8596514696115,33.580964932891,24.2203082012513,-0.557948249246046,12.1593488086481,22.5118637254078,34.030434951383,393.870774900266,1.95373552593829,1.46129858721935,288.009651469611,306.730964932891,272.592051750754,-0.0121593488086481,34030434.951383,1.4056670894933,0.628232304693245,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-12,2001,1,12,2.01311038959059,16.9294506379852,33.0612607835213,24.9953557107533,8.82696325113465,12.3093571513794,39.0945803639988,29.3853443017423,340.108151640536,3.0713536590104,2.29722227147783,290.079450637985,306.211260783522,281.976963251135,-0.0123093571513794,29385344.3017423,-0.698314280083398,-2.81198555210626,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-13,2001,1,13,1.41623957099565,17.7170787899417,28.3959518676301,23.056515328786,12.8931083437696,8.77393702096262,53.5018958247216,22.7367174293325,263.156451728386,2.101574693621,1.57187505163957,290.867078789942,301.54595186763,286.04310834377,-0.0087739370209626,22736717.4293325,1.36106632262244,-1.50741917684331,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-14,2001,1,14,1.08192905106564,11.9851729242415,22.1696001018279,17.0773865130347,6.7496632536428,9.40914786058843,52.3199360093824,23.4333716916079,271.21957976398,2.80147602660718,2.09536700615806,285.135172924241,295.319600101828,279.899663253643,-0.0094091478605884,23433371.6916079,2.12137990084023,1.15797809599619,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-15,2001,1,15,0.01718114020661,10.0707759513475,25.6650247270722,17.86790033921,4.11537318728593,10.1927591148192,42.0190202555735,31.5120964773474,364.723338858188,2.02155994312515,1.5120279329769,283.220775951347,298.815024727072,277.265373187286,-0.0101927591148192,31512096.4773474,0.512710367703384,1.44691135784199,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-16,2001,1,16,0.0,11.9762797643941,28.5052899452176,20.240784854806,4.64676261405569,11.0660902193674,37.575871940011,32.0237803060097,370.645605393631,1.48693450448212,1.11215426133172,285.126279764394,301.655289945217,277.796762614056,-0.0110660902193674,32023780.3060097,0.363258583370423,1.0650497306072,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-17,2001,1,17,0.0065518861621816,14.4563385293898,29.3551617430062,21.9057501361982,8.59228409289063,10.5311684049545,44.6669205645466,29.5210271192256,341.678554620666,2.68226115245644,2.00620011286101,287.60633852939,302.505161743006,281.742284092891,-0.0105311684049544,29521027.1192256,-2.04887584824783,-0.705011907042526,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
Free State,2001-01-18,2001,1,18,0.298663806031684,16.8835939934741,29.7407799162177,23.3121869548459,11.1486138117243,10.0394060866135,47.825523561417,25.2012685104394,291.681348500457,2.3404851857214,1.75056841107497,290.033593993474,302.890779916218,284.298613811724,-0.0100394060866135,25201268.5104394,0.399257162466291,-2.20273480755777,31,34.1773860353895,7.85516866112431,33.580964932891,21.6848669264019,8.794892108365,319.329579967137,47.2826412662887,28.1416928077627,325.714037126884,2.26502125879035,1.69412508579049,,,34.1773860353895,-285.152193931747,-2.36248471603645,0.371849851958558,,,,,,,,,,,,,,,,
